ID (Station ID),Station Names,Dist. From First Station(km),Metro Line,Opened(Year),Layout,Latitude,Longitude,Connection1,Connection2
1,Dwarka Sector 21(First station) [Conn: Orange],0,Blue line,30-10-2010,Underground,28.55226,77.05828,None,None
2,Dwarka Sector 8,1.7,Blue line,30-10-2010,Elevated,28.56583,77.06706,None,None
3,Dwarka Sector 9,2.7,Blue line,01-04-2006,Elevated,28.57487,77.06454,None,None
4,Dwarka Sector 10,3.8,Blue line,01-04-2006,Elevated,28.58068,77.05682,None,None
5,Dwarka Sector 11,4.8,Blue line,01-04-2006,Elevated,28.58657,77.04929,None,None
6,Dwarka Sector 12,5.8,Blue line,01-04-2006,Elevated,28.59232,77.04051,None,None
7,Dwarka Sector 13,6.7,Blue line,01-04-2006,Elevated,28.59722,77.03326,Gary,None
8,Dwarka Sector 14,7.6,Blue line,01-04-2006,Elevated,28.60223,77.02588,None,None
9,Dwarka [Conn: Gray],9.1,Blue line,30-12-2005,Elevated,28.61564,77.02197,None,None
10,Dwarka Mor,10.2,Blue line,30-12-2005,Elevated,28.61932,77.03326,None,None
11,Nawada,11.4,Blue line,30-12-2005,Elevated,28.62025,77.04514,None,None
12,Uttam Nagar West,12.4,Blue line,30-12-2005,Elevated,28.62481,77.0653,Magenta,None
13,Uttam Nagar East,13.4,Blue line,30-12-2005,Elevated,28.62177,77.05585,None,None
14,Janak Puri West [Conn: Magenta],14.7,Blue line,30-12-2005,Elevated,28.62943,77.07767,None,None
15,Janak Puri East,15.7,Blue line,30-12-2005,Elevated,28.63305,77.08669,None,None
16,Tilak Nagar,16.7,Blue line,30-12-2005,Elevated,28.63657,77.09648,None,None
17,Subhash Nagar,17.6,Blue line,30-12-2005,Elevated,28.64039,77.10495,Pink,None
18,Tagore Garden,18.5,Blue line,30-12-2005,Elevated,28.64379,77.11284,None,None
19,Rajouri Garden [Conn: Pink],19.6,Blue line,30-12-2005,Elevated,28.64902,77.1227,None,None
20,Ramesh Nagar,20.6,Blue line,30-12-2005,Elevated,28.65274,77.13164,Green,None
21,Moti Nagar,21.8,Blue line,30-12-2005,Elevated,28.65784,77.14248,None,None
22,Kirti Nagar [Conn: Green],22.8,Blue line,30-12-2005,Elevated,28.65575,77.15057,None,None
23,Shadipur,23.5,Blue line,30-12-2005,Elevated,28.6516,77.15824,None,None
24,Patel Nagar,24.8,Blue line,30-12-2005,Elevated,28.64498,77.16929,None,None
25,Rajendra Place,25.7,Blue line,30-12-2005,Elevated,28.6425,77.17815,None,None
26,Karol Bagh,26.7,Blue line,30-12-2005,Elevated,28.644,77.18855,None,None
27,Jhandewalan,27.9,Blue line,30-12-2005,Elevated,28.64427,77.19988,Yellow,None
28,R K Ashram Marg,28.9,Blue line,30-12-2005,Elevated,28.63923,77.2084,None,None
29,Rajiv Chowk [Conn: Yellow],30.1,Blue line,30-12-2005,Underground,28.63282,77.21826,Violet,None
30,Barakhamba,30.8,Blue line,30-12-2005,Underground,28.63003,77.22436,None,None
31,Mandi House [Conn: Violet],31.8,Blue line,11-11-2006,Underground,28.62588,77.2341,None,None
32,Supreme Court (Pragati Maidan),32.6,Blue line,11-11-2006,Elevated,28.62342,77.2425,None,None
33,Indraprastha,33.4,Blue line,11-11-2006,Elevated,28.62051,77.24993,None,None
34,Yamuna Bank,35.2,Blue line,10-05-2009,At-Grade,28.62331,77.26792,Pink,None
35,Akshardham,36.5,Blue line,12-11-2009,Elevated,28.61806,77.27869,None,None
36,Mayur Vihar Phase-1 [Conn: Pink],38.3,Blue line,12-11-2009,Elevated,28.60442,77.29455,None,None
37,Mayur Vihar Extention,39.5,Blue line,12-11-2009,Elevated,28.59415815,77.29458935,None,None
38,New Ashok Nagar,40.4,Blue line,12-11-2009,Elevated,28.58916,77.30204,None,None
39,Noida Sector 15,41.4,Blue line,12-11-2009,Elevated,28.58512,77.31139,None,None
40,Noida Sector 16,42.5,Blue line,12-11-2009,Elevated,28.57819,77.31757,Magenta,None
41,Noida Sector 18,43.6,Blue line,12-11-2009,Elevated,28.57081,77.32612,None,None
42,Botanical Garden [Conn: Magenta],44.7,Blue line,12-11-2009,Elevated,28.56409,77.3342,None,None
43,Golf Course,45.9,Blue line,12-11-2009,Elevated,28.56714,77.34598,None,None
44,Noida City Center,47.2,Blue line,12-11-2009,Elevated,28.57466,77.35608,Aqua,None
45,Noida Sector 34,48.1,Blue line,09-03-2019,Elevated,28.58372415,77.36046749,None,None
46,Noida Sector 52 [Conn: Aqua],49.3,Blue line,09-03-2019,Elevated,28.5867,77.3728,None,None
47,Noida Sector 61,50.5,Blue line,09-03-2019,Elevated,28.5976,77.3723,None,None
48,Noida Sector 59,51.5,Blue line,09-03-2019,Elevated,28.6065,77.3727,None,None
49,Noida Sector 62,52.7,Blue line,09-03-2019,Elevated,28.617049,77.373619,None,None
1,Yamuna Bank,0,Blue line branch,10-05-2009,At-Grade,28.62331,77.26792,None,None
2,Laxmi Nagar,1.3,Blue line branch,06-01-2010,Elevated,28.63064,77.27749,None,None
3,Nirman Vihar,2.4,Blue line branch,06-01-2010,Elevated,28.63663,77.28683,Pink,None
4,Preet Vihar,3.4,Blue line branch,06-01-2010,Elevated,28.64171,77.29543,Pink,None
5,Karkar Duma [Conn: Pink],4.6,Blue line branch,06-01-2010,Elevated,28.64849,77.30558,None,None
6,Anand Vihar [Conn: Pink],5.7,Blue line branch,06-01-2010,Elevated,28.64695,77.31603,None,None
7,Kaushambi,6.5,Blue line branch,14-07-2011,Elevated,28.64544,77.32432,None,None
8,Vaishali,8.1,Blue line branch,14-07-2011,Elevated,28.64997,77.33974,None,None
1,Ashok Park Main,0,Green line branch,02-04-2010,Elevated,28.67292,77.1442,Blue,None
2,Satguru Ram Singh Marg,1.1,Green line branch,24-08-2011,Elevated,28.66199,77.15748,None,None
3,Kirti Nagar [Conn: Blue],2.1,Green line branch,27-08-2011,At-Grade,28.65575,77.15057,None,None
1,Inderlok Conn:Red,0,Green line,02-04-2010,Elevated,28.67319,77.16994,None,None
2,Ashok Park Main,1.4,Green line,02-04-2010,Elevated,28.67153,77.15527,None,None
3,Punjabi Bagh,2.3,Green line,02-04-2010,Elevated,28.67289,77.14614,None,None
4,Shivaji Park,3.9,Green line,02-04-2010,Elevated,28.6749,77.13056,None,None
5,Madipur,5,Green line,02-04-2010,Elevated,28.67734,77.11965,None,None
6,Paschim Vihar (East),5.7,Green line,02-04-2010,Elevated,28.6773,77.11228,None,None
7,Paschim Vihar (West),6.7,Green line,02-04-2010,Elevated,28.67855,77.10227,None,None
8,Peera Garhi,7.6,Green line,02-04-2010,Elevated,28.67959,77.09261,None,None
9,Udyog Nagar,8.8,Green line,02-04-2010,Elevated,28.6809,77.08077,None,None
10,Maharaja Surajmal Stadium,9.5,Green line,02-04-2010,Elevated,28.6818,77.07385,None,None
11,Nangloi,10.3,Green line,02-04-2010,Elevated,28.68231,77.06471,None,None
12,Nangloi Railway Station,11.2,Green line,02-04-2010,Elevated,28.68208,77.05596,None,None
13,Rajdhani Park,12.4,Green line,02-04-2010,Elevated,28.68221,77.04381,None,None
14,Mundka,13.7,Green line,02-04-2010,Elevated,28.68321,77.03133,None,None
15,Mundka Industrial Area (MIA),15,Green line,24-06-2018,Elevated,28.6834491,77.0171333,None,None
16,Ghevra Metro station,17.1,Green line,24-06-2018,Elevated,28.6852384,76.9961591,None,None
17,Tikri Kalan,18.9,Green line,24-06-2018,Elevated,28.6868661,76.9772069,None,None
18,Tikri Border,20.2,Green line,24-06-2018,Elevated,28.6880254,76.9640828,None,None
19,Pandit Shree Ram Sharma,21.5,Green line,24-06-2018,Elevated,28.689281,76.9511988,None,None
20,Bahdurgarh City,23,Green line,24-06-2018,Elevated,28.6907847,76.9354851,None,None
21,Brigadier Hoshiar Singh,24.8,Green line,24-06-2018,Elevated,28.6974603,76.9192027,None,None
1,Sector 55-66,0,Rapid Metro,31-03-2017,Elevated,28.42336,77.10513,None,None
2,Sector 54 Chowk,1.1,Rapid Metro,31-03-2017,Elevated,28.426,77.1017,None,None
3,Sector 53-54,2.6,Rapid Metro,25-04-2017,Elevated,28.4269,77.0992,None,None
4,Sector 42-43,3.9,Rapid Metro,25-04-2017,Elevated,28.4236,77.0953,Yellow,None
5,DLF Phase 1,5.5,Rapid Metro,31-03-2017,Elevated,28.47076,77.09423,None,None
6,Sikandarpur [Conn: Yellow],6.6,Rapid Metro,14-11-2013,Elevated,28.4861,77.0809,None,None
7,DLF Phase 2,7.3,Rapid Metro,14-11-2013,Elevated,28.48753,77.09295,None,None
8,Belvedere Towers,8,Rapid Metro,14-11-2013,Elevated,28.49207,77.08953,None,None
9,Cyber City,8.6,Rapid Metro,07-05-2014,Elevated,28.49806,77.08916,None,None
10,Moulsari Avenue,9.2,Rapid Metro,14-11-2013,Elevated,28.5007,77.0946,Yellow,None
11,DLF Phase 3,10,Rapid Metro,14-11-2013,Elevated,28.49357,77.09366,None,None
1,Kashmere Gate [Conn: Yellow],0,Violet line,28-05-2017,Underground,28.6675,77.22817,None,None
2,Lal Quila,1.5,Violet line,28-05-2017,Underground,28.656657,77.236693,None,None
3,Jama Masjid,2.3,Violet line,28-05-2017,Underground,28.65001015,77.23767617,None,None
4,Delhi Gate,3.7,Violet line,28-05-2017,Underground,28.6392036,77.2407823,Blue,None
5,ITO,5,Violet line,08-06-2015,Underground,28.6305091,77.2414363,None,None
6,Mandi House [Conn: Blue],5.8,Violet line,26-06-2014,Underground,28.6255556,77.234195,Yellow,None
7,Janpath,7.2,Violet line,26-06-2014,Underground,28.6088598,77.2181649,None,None
8,Central Secretariat [Conn: Yellow],8.5,Violet line,03-10-2010,Underground,28.61474,77.21191,None,None
9,Khan Market,10.6,Violet line,03-10-2010,Underground,28.60276,77.22829,None,None
10,Jawaharlal Nehru Stadium,12,Violet line,03-10-2010,Underground,28.5904,77.23326,Pink,None
11,Jangpura,12.9,Violet line,03-10-2010,Underground,28.5843,77.23766,None,None
12,Lajpat Nagar [Conn: Pink],14.4,Violet line,03-10-2010,Elevated,28.57079,77.23653,None,None
13,Moolchand,15.1,Violet line,03-10-2010,Elevated,28.56417,77.23423,None,None
14,Kailash Colony,16.4,Violet line,03-10-2010,Elevated,28.55527,77.24205,Magenta,None
15,Nehru Place,17.4,Violet line,03-10-2010,Elevated,28.55148,77.25154,None,None
16,Kalkaji Mandir [Conn: Magenta],18.2,Violet line,03-10-2010,Elevated,28.55007,77.25835,None,None
17,Govind Puri,18.9,Violet line,03-10-2010,Elevated,28.54451,77.26401,None,None
18,Harkesh Nagar Okhla,20,Violet line,03-10-2010,Elevated,28.54292,77.27504,None,None
19,Jasola,20.9,Violet line,03-10-2010,Elevated,28.53824,77.28319,None,None
20,Sarita Vihar,22.1,Violet line,03-10-2010,Elevated,28.52878,77.28826,None,None
21,Mohan Estate,23.3,Violet line,14-01-2011,Elevated,28.51938,77.29388,None,None
22,Tughlakabad,25.2,Violet line,14-01-2011,Elevated,28.50254,77.2993,None,None
